ID,Type,Title,Price (EGP),Down Payment,Location Cluster,Full Address,Bedrooms,Bathrooms,Area (sqm),Agency Name,URL
88950549,Apartment,Apartment for Sale in Mountain View Hyde Park,7895000,,Mountain View Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,141,KAMF,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-88950549.html
88965754,Apartment,Lowest Installment Apt 3BD Sale Kayan Badr El Din,5500000,,Kayan,"Kayan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,2,120,Driven Properties,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-kayan-88965754.html
88965649,Townhouse,Town Corner View On Lake and greenery-Resale RTM,26000000,,Mountain View Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,281,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-88965649.html
88965629,Villa,Largest Type Villa Finished Corner - Lagoon View,54000000,,Mazarine,"Mazarine, New Alamein City, Al Alamein, North Coast",7,7,672,New Avenue Real Estate,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-al-alamein-mazarine-88965629.html
88965544,Chalet,chalet fully finished- Azha north coast old price,9500000,,Azha North,"Azha North, Ras Al Hekma, North Coast",3,3,135,CBE New Homes,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-azha-north-88965544.html
88965489,Apartment,Finished with Nanny and Parking - Boulevard Towers,9800000,,Badya Palm Hills,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",3,4,177,New Avenue Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-badya-palm-hills-88965489.html
85328934,Chalet,Fully Finished Facing North Best Price Chalet,12800000,,Marassi,"Marassi, Sidi Abdel Rahman, North Coast",1,1,60,why solutions,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-85328934.html
88965088,Villa,Ready to move Cheapest Town Corner in Vye Sodic,5570000,,Vye Sodic,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",4,5,297,Property  Hills.,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-new-zayed-city-vye-sodic-88965088.html
88965192,Twin House,Twinhouse Golf View in Newgiza - Ready to move,26000000,,New Giza,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",4,4,305,New Avenue Real Estate,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-giza-6-october-city-cairo-alexandria-desert-road-new-giza-88965192.html
88965168,Chalet,Seashore | Resale | Chalet Direct on Pool | 2 Beds,7376830,4200000.0,Seashore,"Seashore, Ras Al Hekma, North Coast",2,2,96,Triple S Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-seashore-88965168.html
